Comment|No|Yes|Kind of offensive language
Narodowi bolszewicy w natarciu ! Zachłysnęli się władzą. Za chwilę się nią udławią, Tylko Polski szkoda !|1|0|1
nigdy nie miałem wątpliwości,że to czubek.|8|16|1
CIEKAWE!!!!!!!!!!!!!!!!!!!!A KTO NIBY TERAZ POPIERA TYCH PiS-owskich PSYCHOPATÓW OPRÓCZ MOHERÓW?????????????|8|0|1
Czy w Wrocławiu tez są sfrustrowane nieroby, które zamiast mieć pretensje do rodziców, że im liche geny dali i sobie w życiu nie radzą, szukają winnych wszędzie tylko nie tam. Ja myślałam , że Wrocław to już mentalnie  taka prawie Europa. A tu takie same barany jak w Warszawie|3|1|1
To przede wszystkim śmiech typu Świecie nad Wisłą. Po drugie ja wiem czemu się tak durnowato śmieje. Filmik oglądał gdzie ksiądz potrącił staruszkę, która nie chodziła do kościoła|1|0|1
no tak śmiać sie nie można , tylko płakać nad tym co POwce zrobiły z polskim narodem ,jak wyprali im mózgi i teraz nie potrafią sami logicznie myśleć .JA  też jestem szczęsliwy że era POwców się skończyła  HUUURARAAAA|3|2|1
Na starosc chyba glupiejesz?|1|0|1
PIERDOJNAC BOMBE A I PO KLOPOCIE A URATUJE SIE SWIAT OD MORDERCOW|1|0|1
Spójrz w lustro. A jaki Ty masz charakter  .|1|0|1
BRAWO Panie Martinie --- cały ten pisowski rządzik DO DYMISJI i to szybko !!! a szydło to WINNA W ŁEB SE STRZELIĆ, jeszcze szybciej !|3|1|1
Co te dwa puste zakute łby to jest Gliński i Lisicki robią w tym programie jak na nich patrzę to mnie na sraczkę zbiera.|2|0|1
Ten zdrajca po zakończeniu kariery w Brukseli do Polski już nie wróci, czeka go tu Trybunał Stanu a może nawet i więzienie za Smoleńsk. On o tym dobrze wie, teraz chroni go immunitet to przyjeżdża. Niemcy za zasługi jakie dla nich zrobił w "wykańczaniu Polski", przygarną go do siebie.|158|90|1
to przerazajace co sie tu wypisuje!!!!glupi i prymitywny narod|5|2|1
A kogo to obchodzi z czego się śmiał! Wyglądał okropnie, i te krótkie rączki splecione wysoko przed sobą jak...........................!!!!! Straszny widok!!!!!!!!!!!!! A to przecież było w sejmie, a nie w knajpie!!!!!!!!!|1|2|1
RUDY ZDRAJCA SRA WE WŁASNE GNIAZDO,RUDA TARGOWICA,LEDWO  DUKA PO ANGIELSKU,ZDRAJCA|7|4|1
jego głupota|1|3|1
"KE i PE to klasyczny cyrk polityczny, taki Monty Python dla ograniczonej intelektualnie, pozaprzeszłej widowni" Ale nie dla lemingów i ćpuna maleńczuka|2|0|1
strasznie kłamliwe babsko - całe szczęście|1|0|1
Widzę ze większość komentujących to prawdziwi katolicy tacy poprawnie pisowscy siać zło płuc jadem a później do kościółka wysłuchać instrukcji od klechty. Tylko podziwiać choć cieszę się ZR takich tumanow robi się juz coraz mniej mohery zaczynaja madrzec a narybku jak na lekarstwo.|3|2|1
TYB SZKOPSKI PROSTAKU MOZESZ KRYTYKOWAC MARKEL WARA CI OD POLSKI  NIEUKU|54|24|1
tu jest POLSKA i rządać to se możecie,ale u siebie. Wy CHACHŁY|38|37|1
Sorry ale jak dla mnie to mały mściwy rozchwiany emocjonalnie człowieczek, zaciekły i zacięty w swej żałobie i gotowy po trupach osiągnąć cel.|13|15|1
Oj nikt jeszcze niezgadl. Kaczuszka smieje sie do lez,ze..... Wszystkich wyborcow wystawili tylkiem do wiatru. Wiedzial Kaczynski,ze ludzie kupia wszystko co im powiedza. Oj oj smieje sie z NAS POLAKOW. ZE WYKIWAL WSZYSTKICH.|3|3|1
Biora pieniądze żeby takim jak ty zamykac jape.|19|14|1
A przy Glińskim nie puszczać baków. On ma minę jakby ktoś właśnie puścił podkołdernika jadowitego.|2|1|1
WP przestańcie cytować profesora idiotę Glińskiego.|2|0|1
Od ciebie już czuć , starucho!|41|40|1
do KODurni, nie tylko zagrozone sa odcieci od koryta, od decyzyjnych rzadow. I z tym nie moga sie pogodzić.|9|7|1
Zostali tylko dziennikarze tzw " DYSPOZYCYJNI" dla obecnej wladzy. WYPISUJE SIE Z OGLADANIA TELEWIZJI PiS - OWSKIEJ.. Juz widac kolosalna zmiane w przekazie wiadomosci , mdlych i nic nie wyjasniajacych wywiadach. Jedyne  co powiadaja to " Polacy nic sie nie stalo " Szydlowa - " to dobrze ze jestesmy teraz pod nadzorem unijnym " Morawiecki - " to dobrze ze obnizono nam rejting " - eksporterzy zarobia. BZDETY I KLAMOLSTWA I PEWNOSC ZE GLUPI NSROD TO KUPI.|5|0|1
"...część posłów wyszła z sali..."  SPISAĆ ICH NAZWISKA I WIĘCEJ NIE WPUSZCZAĆ NA SALĘ OBRAD!!! JAKO PODATNIK NIE MAM ZAMIARU NA DARMOZJADÓW WYCHODZĄCYCH Z SALI PŁACIĆ SWOICH PODATKÓW!!|45|13|1
I dobrze bo chyba jest chora i ma Basedowa. Tak się zapienia, aż jej oczy wychodzą z orbit.|2|1|1
Kij jej na drogę .Wiadomośc na pierwszą strone .|2|1|1
Oszołomy pisokatolorydzykowe nie zgadzają się na to, panie Schultaz. Polak katolik jest super i ma prawa, ale Niemiec katolik jest beeeeee !|15|5|1
nich szubrawiec, zdrajca przejdzie do Polski to Polacy mu POdziękują!!!!!!!!!!!!!|32|17|1
TARGOWICA wstyd że ci ludzie są Polakami a sprzedają własny kraj. Można nie popierać PIS ale ludzie plucie na własny kraj co wiąże się z wymiernymi stratami ekonomicznymi dla 100% Polaków.|158|96|1
Za samo udzielanie wywiadów niemieckim gazetom powinni takim golić głowy.|2|1|1
kiedy Olejnik złoży wymówienie na bruk albo do Lisa nory|3|2|1
Ojej kartofel umie się śmiać dajcie Mu pamper sika bo się zmoczy|1|2|1
cuchniesz niemytymi jajami, wyszoruj|5|0|1
Mam nadzieję że Polacy zrozumieli że za szumem w UE stoi Donald Tusk chyba nikt nie uważa że partia popaprańców PO odda władzę bez zgrzytów. On sprzeda wszystko i wszystkich aby być u koryta obojętnie jakiego, byle była duża kasa.|54|25|1
Pan Dębski to trenawał pisanie chyba w jakimś tygodniku milicyjnym? Do GAz Wyba proszę się nie starać, tam teraz przepełnienie. Co za g*wniana propaganda...|2|0|1
Większa część... całe 20%. Brawo. Faktycznie w ch.j dużo.|4|2|1
Szacunek Pani Dominiko. Jest Pani zbyt dobra by siedzieć pod butem miernot|7|6|1
brawo ,gonic i tempic wszystko co zle ,a zlo pochodzi od zydow polskich ukarać ich wiezieniem bo to nie jest sztuka i zabraniam zydom występowania w polskim teatrze a w zydowskim to nich nawet i czosnek se do du--wpuchaja|3|0|1
Rzecz w tym,że obecni Rosjanie to nie Słowianie, a mieszańce- kundle.Skundleni są z Czukczami,Buriat-Mongołami,Kabardinami i innymi wszelkiego rodzaju nacjami.|4|2|1
Dorzuć jeszcze Stalina i Hitlera będzie komplet obszczymurku .|3|0|1
Szkoda ze naprawdę nie pękł!!! :))))|135|214|1
Ten Rzad powinien chodzic wszedzie w kominiarkach,bo wstyd patrzec w oczy swoim wyborcom. Pani Szydlo czy tak mialo byc ?|1|1|1
maciorewicz puścił bąka i beknął|3|6|1
Nie. Bo JEST czubem!|2|0|1
wiem wiem.tobie blizej do putina i lukaszenki niz do merkel.szkoda ze pisobolszewia przeorala ci mozg i zrobila z niego sieczke.mysl samodzielnie!!!|1|0|1
Kozy tym szmatogłowym dać... A może nie? No bo czemu te biedne kozy są winne... Na podziurawione pontony i z powrotem do własnych domów!|5|680|1
Wypuscil baka!|0|5|1
A ten sklerotyk socjopatyczny wie kto to był ten sułtan?|0|1|1
Dostała widać miejsce na parkingu przy gierkówce. To akurat dla niej robota. A Glińskiego i POPiSiaków posłałbym do zbierania śmieci.|1|0|1
Pan prezydent, który jest tak bogaty i nie potrafi przez prawników załatwić sprawy BOLKA, cienkiego bolka, jest żenujący w powołaniu przez IPN debaty. Obowiązuje domniemanie niewinności, ale tych dwóch - co nie ukradli księżyc - tylko tych co miał puścić w skarpetkach chodzą w salamandrach i dobrze zarobili na tej książce.|7|2|1
Kaczyńskiego bawi rekordowa ilość tępych Polaków|7|12|1
szkoda,ze nie pekl.Bylby spokoj.|2|5|1
Nie da się go w Polsce skazać. To Volksdeutsch|10|3|1
D o n a l d    z d r a j c a    ! ! !  .|8|5|1
Zero klasy,a wręcz obrazek durnia. Nic tak nie mówi prawdy o człowieku jak jego śmiech|4|5|1
Pani Karolina wszędzie świetnie sobie poradzi, a widzowie dostaną zamiast niej oraz innych profesjonalnych i obiektywnych dziennikarzy, miłośników PiSu, którzy na rozkaz pajaca Kurskiego będą głaskać i wysławiać mądrość obecnie rządzących Polską szkodniów doprowadzających ten kraj do ruiny. Ręce opadają...|5|2|1
Od razu widać że yaro ma obrady sejmu w rowku.|1|3|1
Nie  chcemy unii i dalszego wikłania naszych losów. tusk pod trybunał - zdrajcę . Dla własnych ambicji zniszczenia Kaczyńskiego gotów jest upierdzielić cały Naród Precz z politykami takimi jak tusek|108|6|1
sprzedawczyk|108|6|1
A TY JESTES FRAJEREM|4|0|1
~PIS=PZPR   Obejrzał fragment nowych wiadomości w TVP PIS, też się uśmiałem :) / PO = gestaPO.|4|1|1
Panie Wenta zabierać Polskie pieniążki i żegnamy wyjazd do pana Szulca do widzenia !!!!!!!!!!!!!!|1|0|1
zacofane katolickie pół mózgi średniowieczne|4|3|1
Przyjdzie czas i na insekta Ziemca !!!przyjdzie i to wcześniej jak poźniej !!!|7|1|1
Smieje sie z tych co na nich glosowali ! ...PS NIE WIEDZIALEM ZE TO "COS" MOZE SIE SMIAC !!!|5|3|1
W telavivie już na nią czekają.|2|1|1
dopóki takie zakłamane po-wskie kundle jak ten pismak stankiewicz będą wydawać taki bełkot dopóty będę całym sercem za tym co robi PiS. Żenada, żeby WP zatrudniała takich jednostronnych pismaków|1|2|1
i jej herszta jadosława kałczyńskiego zamkniemy  na kuracji w Tworkach|13|2|1
Sprzedał Polskę a dzisiaj chce o niej dyskutować ,najlepiej by zrobił gdyby nie wracał do Polski nigdy więcej!!!!!!!|33|20|1
Wiesław Dębski , sługus PO już chce rozliczać PiS chociaż oni dopiero zaczęli rządzić. Ty się lepiej dziadu zastanów, stoisz nad grobem i tyle w tobie nienawiści.|4|3|1
Nie Polacy wychodzili gamoniu. Co z po i nowoczesnej to nie Polacy to slugusy żydów.|1|0|1
jestem Rasistka bo: nie lubię terroryzmu, bo uważam ze nie odpowiednim się pomaga w Europie, bo uważam ze każda kobieta ma prawo być tym kim chcę, ze ta banda malp z Syrii powinna walczyć o swój kraj, bo pragnę prawdy, i nie chem islamizacji eu, bo nie lubię Merkekl, Juncka ....|0|48|1
na drzewo! zielony liściu.|1|0|1
czy nie było tez jeneralskiego dziennikarza,to synek reosrciak czy mąż|109|39|1
Ty ch .... już płaczesz :-)  bo oderwali. od koryta. he he he|5|2|1
Wy POpaprańcy możecie się teraz tylko odszczekiwać. Przez osiem lat obszczekiwaliście ludzi prawych, stawialiście ich do kąta, szydziliście z Nich przez Popaprane media, chcieliście Ich wykończyć psychicznie i fizycznie (katastrofa smoleńska). Wszystkie wasze "uchwały" miały eksterminować Polaków. Teraz naprawianie bagna, jakie zostawiliście dla Polaków, nazywacie zemstą. Odczujcie, jak to smakuje być poniżanym i wyśmiewanym.|35|18|1
Nie polemizuje się z bredzącymi z nienawiści.|1|2|1
Zdrajca narodu polskiego!|11|5|1
Widać pajace,co robicie podczas posiedzeń sejmu,pornusy też oglądasz,a może o kotach?|3|4|1
Targowych, biegną do Niemców jak do Pana. Nie jestem za spis Pio czy co. Ale nie lubię takiego g.na. Za przeproszeniem.|1|0|1
Czego można się spodziewać  po ZDRAJCY!!!|17|9|1
Panie Tusk pańskie szczytowanie nic do tej pory nie dało .I tak masz przechlapane w Polsce .|103|61|1
Jarosław albo głupio się śmieje, albo jęzorem szuka resztki zębów  -  taki mały człowiek rządzi PIS-em i chce rządzić Polakami , NIESTETY TO MU SIĘ NIE UDA bo gorszy sort  DA RADĘ.|10|18|1
Folksdojcz czy inna zaraza ?|15|7|1
Róbcie dalej zadymę na zachodzie KODziaże a Polacy pokarzą wam takiego faka, że nie wejdziecie do sejmu razem z PO.|1|0|1
Dla muzułmanów z Bliskiego Wschodu wszystkie białe kobiety- europejki czy amerykanki są pospolitymi q...mi. To wynika z zasad islamu.|11|1056|1
Pajac nakręcany przez Niemców .|11|2|1
czarna marionetka wyszła  z cienia i pierniczy trzy po trzy|1|0|1
a od ciebie je..ny mocheru zalatuje kulkami na mole!!!!!!!!!!!|10|9|1
Boje się że rudy szczur namiesza.Zdrajca narodu chce zniszczyc Polske,bo to nie jego ojczyżna.On juz ma kupiony piękny dom z gruntami w Niemczech i tam zostanie ,więc mu nie zależy.|16|13|1
Zaczęła sie kolejna transformacja i tworzenie nowej parti gdzie wylądują przy następnych wyborach to Nowoczesna. Ludzie zapomną o Unii Wolności, Platformie Obywatelskiej i dalej zagłosują na kaprawe mordki tych samych oszustów. Wariant awaryjny to stworzenie nowej partii z tymi samymi dzialaczami. To już się dzieje, ale liczę na rozsądek i uczciwość wyborców, ktorzy ocenią poprzednie i obecne rządy sprawiedliwie.|51|32|1
dla mnie ten gosc jest nikim i niczym|8|15|1
a mlaskał? a zaciskał wargi na sztucznej szczęce? Bo mu (jak i bratu) zawsze szuflada wypada...|0|0|1
Kurczę... A szczęście było tak blisko.... Nie pękł . A mógł pęc. :-D|2|6|1
Polacy ale wy jesteście głupi, jedyny Rząd od 30 lat który chce coś zrobić dla nas w wam nie pasuje. Manipulują wami jak marionetkami ale to się zgadza one też nie mają mózgu.|1|0|1
Gliński to prostak i frustrat . Nie nadaje się w ogóle do rządzenia. Ośmiesza się cały czas . Nikt nie może już go słuchać . Nie wiem dlaczego dziennikarze zapraszają go do studia. Totalny wstyd.|1|0|1
Sam jestes smieszny z ptasim mozdzkiem|5|1|1
Smieje sie ztym glubkow PO tez sie smieje heeeee|1|1|1
Kobieto w swoim życiu musiałaś się sporo nakraść i mierzysz wszystkich swoją miarą ,wszędzie widzisz złodzieji. Warto udać się do specjalisty.|55|31|1
PiS szykuje poziom mediów adekwatny do poziomu i sprawności umysłowej swoich wyborców. Szympans przed kamerą byłby zbyt inteligentny, by reprezentować pisowski "poziom".|4|3|1
Zobaczył naga kobietę. Myślał że seks może być tylko z kotem. :))))|3|3|1
kris debilny ogląda tylko ruskie filmy chłopina wymaga troski skoro tak głupie wyciąga wnioski|4|2|1
PiS-da to dopiero śmiechu warte. Jeszcze trochę a będziecie spieprzać ja szczury z płonącego okrętu.|7|5|1
Płynie tu jak zwykle pisowski ściek. Nie lubicie Wielowiejskiej czy Kraski? No to będziecie mieli  statywy do mikrofonu rodem z Torunia, gdzie Kaczor tokuje przez 40 minut a pytania  są   typu: Dlaczego ma pan rację? Lubicie tvp  liżydup pisowskich? ja nie  -  i  juz nie oglądam wiadomości i tvp info. Jak w stanie wojennym zresztą.|15|11|1
wychodzi oni tam koze czy krowe wydymał|2|23|1
obciagnięty penis petru zobaczył|2|1|1
Cale szczescie ze odeszla nie dosc ze bardzo brzydka to jeszcze natretna powodzena!|3|2|1
inter buce. Prezes Rzepliński organizuje karnawałowy bal Trybunału Konstytucyjnego za 1 mln zł z budżetu państwa. Za  1 mln sędziowie TK odbyli wycieczki po świecie, co powodowało , że nie mieli czasu ( nie bywają w TK bo mają etaty na uczelniach) prowadzić sprawy Trybunału i zaległości są 2 letnie. A 5 milionów zł 30 pracowników TK wydało na prasę , łącznie z prenumeratą Komputer świat. Czyli gazety 1 pracownika TK kosztowały 170000 zł , każdy pracownik miałaby super luksusowy samochód np. Audi A8. Ile ty bucu internetowy wydajesz na gazety ? 50 zł. Czy taka ma być Polska ?|10|7|1
pislam gwalci wszystko i wszystkich- demokracje, konstytucje, wolne media, wszystkich i kazdego z osobna, tylko po to zeby kartofel mniejszy mogl osiagnac orgazm|2|1|1
Słusznie zrobił Kaczyński,zakrywając dłońmi podczas śmiechu spróchniałe,brązowe kołki...|0|2|1
Tak właśnie piszą popierający PiS niedouczeni. Pokażcie!|3|0|1
a ja się dziwie ,że takiego barana  jak ty jeszcze  nosi|2|0|1
Szaleńcowi, mściwemu Hitlerkowi, zwanemu Prezesem Jarosławem pokazali zdjęcie nagiej kobiety. To go tak rozbawiło.|3|3|1
