Comment,Kind of offensive language
qrwa i niech ja nikt nie mówić że czara to jakiś zabobon chłopak mieć sztywny noga,0
od każdy sprawozdanie finansowy w forma elektroniczny zgodny z struktura jpk,0
na tvp kraków paść właśnie informacja że rozmowa z potencjalny kupiec wisły przełożyć z dziś na jutro,0
niech jeszcze dać lektor i na główny postać mówić nadzieja,0
nie no lud żeby robić artykuł na temat jeden tweet,0
jak powiedzieć że pierwszy słysze to będzie kompromitacja czy nie grinding_face_with_smiling_eyes,0
usunąć konto wytrzeźwień budować od nowy,0
sekta cha cha cha obudzić się z hipnoza być bolszewik,1
nie wstać kurde nie mieć opcja,0
spokojnie u ja też kaczarawa na kapitana cvijanović,0
niech ładny chłopiec z kręconymi włos do ja napisać jutro zaraz teraz,0
im ktoś źle widzieć długo musić czekać choć ten który widzieć dobrze długo poradzić sobie bez okulary fearful_face,0
oj no to powodzenie co tam będziesz musieć robić face_with_hand_over_mouth,0
chyba nie marcin mówić coś o,0
przeczytać mój kolejny twist to zobaczyć że nie umknąć i co sądze o poziom ten mecz,0
tylko nie w dupa to dla który z on byłaby przyjemność,0
widać chcieć wiecej polski morda gotujących konina,0
no to jak się przegrywać cały czas to dobrze przestać grać,0
widzieć że sam się znajdywać,0
napewno mieć zdezaktualizowanego może dlatego,0
smokowski mówić że wisła mieć piłkarz sorta a wieszczka deprecjonować dobry praca kiko,0
więc zaczynać oglądać do wszystek chłopiec który kochałam bo wszyscy o to mówić i aż chcieć to sprawdzić,0
banan i jeszcze raz ban co za prymitywny dna,0
jasny bo debil oglądać typis płakać tylko na być jak miłość,1
w stop klatka widać z jak by to być po strona drugi lega to karny by być,0
zdrada stan to donald tusk dopuścić się już w r kiedy dodać rosjanom śledztwo w sprawa katastrofa smoleński,1
na margines być córka biskup,0
przejść historia jak tworzyć kłamstwo w doba powszechny dostęp do informacja,0
od około rok używać kolejny model htc i nigdy ja nie zawieść,0
ty się oszust i kłamca od my pierdolić my sobie dać rada bez twój kłamstwo,1
odważny słowo jak na legionista face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,0
załatwić to jeden głosowanie w sejm i żaden demonstracja nie będą mieć na to wpływ,0
krzyż celtycki w irlandii debil mieć kompletnie inny znaczenie niż u neofaszysta,0
coś w to jesto ja też beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes i jeszcze bym dodać dominici w który infantylizm ja totalnie osłabiać,0
gdzie on znajdywać taki dupek,0
mój stres zacząć się stresować swój własny stres który również się stresować ja pierdole dość,0
dojść brlek tilić wrócić do forma obcokrajowiec się zaaklimatyzować i bedzie dobrze flexes_biceps,0
brawo grzech za twój powrót do żywy w rosji pokazać swój moc,0
wonder chyba ty beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes no dobra na jaki beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,0
ja mieć uczulenie na dobry zmiana ale to długi historiac,0
różnica nie mieć bo pisać wtedy że nie można zsyłać zawodnik do rezerwa p,0
żalić ty biedak gdyby nie kaczynski to by on twój przyjaciel z po rozkraść,1
dobry dzienie na przypomnienie sobie geneza gwiazdka na flaga ue deklaracjarzymska,0
sekta kurwa jakiś niepojęty radość każdy konto pisdzielskie tylko o jeden,1
nie wierzyć bez zaświadczenie od proboszcz,0
i chyba wtedy byś niezaprzeczalny,0
tak naprawdę czy będziemy w spadkowy czy mistrzowski to i tak czekać my sparing,0
jebać jebać nica się nie bać,1
jaki praca ty już pajacu nie wiedzieć na co się lansować sejm nie pracować,1
kilogram rozmnażać się przez pączkowanie persevering_face confounded_face ntłustyczwartek,0
nie działać i dobrze działać szybko bo klient nie maj dostęp do środki na konto,0
jutro walczyć normalnie rycerz a gdzie być wcześnie a zapomniałem że nie o l chodzić,0
ale to głupi rdzennie głupi bardzo głupi już być nie móc,0
szczególnie vestenickypodczas wypożyczenia nica nie pokazać a on wykupić za tysiąc euro face_with_tears_of_joy clipping_hands,0
już się bać postraszyć ja pan kolega narodowiec,0
co nie być blisko bo nie rozumieć,0
a od kiedy komentator na sky to wyrocznia,0
nazwisko ten babski beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes bo wczoraj być na mo beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes grinding_face,0
zbierać się do kontratak dla swój pryncypał pójść w bój patriotyczny dusza co nie,0
a w kolejny fajnie jakby grać na lewy za salowa,0
byłem w praca ale zaraz odpalać mecz na dzięki za walke,0
jaki motywacja być chyba różnica mieść medal albo on mieść,0
niby nie mieć czy niby nie mit face_with_tears_of_joy face_with_tears_of_joy,0
ja bym być ostrożny beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes a jak mieć na imię,0
tak to być jak ktoś nie wiedzieć do który lekarz iścić najpierw,0
no nie dziwie się w suma dobrze że tylko raz dzwonić,0
wasz świat to się w on zamknąć i nie wystawiać nos,0
przyjaciel to niech on sobie szukać za swój prywatny pieniądz i niech robić z siebie idiota na własny rachunek,0
imagine sie komus podobac z ktos sie starać o twój uwage cant relate,0
a portugalia jak zagrać,0
pierwszy zdanie paczek papieros kosztować miliard mareknjajowęża teraz na,0
no to tym bardzo,0
ja przynajmniej mieć profilowy i nie chować się za awatara ale bohater mw na to nie stać i w suma nica w to dziwny,0
co się spodziewać po członek żydowski amerykański lobby rok na kolano przed żyd zrobić swój,1
co ty człowiek pić z rano,0
pewnie narząd też wkrótce sprzedać d,0
w zeszły sezon to sam pisałeś,0
pita to przyszłość piękny i znany szukać zapomnienie próbować różny trunek łączyć środek psychoaktywny powodzenie,1
ale ty być żerować dna metro muł,1
spoko nigdy nie dawać follow aktywny człowiek tylko to który nie pisać nica od miesiąc albo dać ja follow,0
co to być tajmlajn na fejs zmarszczka,0
może trzeba chłopak na crossfit zabierać,0
znacznie blisko być ja muzułmanin czy indus niż katolicki łysy wołacz z wschód europ do ten rasistowska,1
dzisiaj o strefa kibic w radio akadera zapraszać,0
nie powinno być źle o ile się utrzymać piętro,0
spokojnie trzeba ten porażka wziąść na klata mecz się tak ułożyć nie inaczej napewno zły dużo my być,0
ale się cieszyć wreszcie koniec i będzie można wypić zapas z plecak,0
oferta przedłużenie kontrakt ponoć dostać od wisły ale on nie zaakceptować,0
dziś o godzina prezydent rp wygłosić orędzie,0
myślałem że się przychodzić na stadion dla drużyna a nie na poszczególny piłkarz,0
kibic chodzić raczej o postawe dziennikarz a nie klub,0
nie trzeba gierczyk wystarczyć kilka polski katecheta,0
barcelona z messi ten obecny by taki mecz wygrać albo jakiś suarez by coś wcisnąć p,0
tw wolfgang tw faraon i tw rycerztwa balbina tw michał nkto miecz wojować ten od pochwa ginąć,0
zgadzać się ale przecież my miesiac żeby komin płacowy zacząć carlitosa,0
low kick kolano łokieć blacha na czoło i star leżeć,1
niestety obrazek będą też zielony czarny i brunatny,0
ktoś założyć fajkowy konto i oglądać wszystek mój stora,0
żyto zdarzać się jednak od taki rzut wolny do gol droga dość daleki,0
a wydanie tysiąc euro gdy się nie mieć pieniądz nie być strzał w kolano,0
wio indeks ścierwo zdrajca szubienica,1
nie dziwie się to być dość cwany,0
raczej jutro będzie on odczytywać przez cały dzienie,0
kto będzie pić ten mleko gdzie będą jeździć tir mebel okno ty maly kogut,0
nie myć się tylko ten co nica nie robić,0
mama będzie ja obcinać włos boje się,0
no to musić ty nieźle płacić za wierszówka,0
czy mieć info jaki obecnie ondrasek mieć zarobek w wiśle,0
jaki kwota wykupienia on po rok,0
dla kto pracować nie przy śniadanie bo się zdławić można z wrażenie poprosić przykład zatem,0
widzieć że daleko nie rozumieć no nica iść oglądać lm pozdro,0
jeśli mieć tv włączyć od do a reklama pojawiać się x na godzina po mies być na granica obłęd,0
a co o włoski faszysta i węgierski nacjonalista,0
dojenie kasa przez rządnkompromitacja morawieckiego w niemczechnkaczyński twórca państwo polski w rok,0
jeszcze w nastepnej kolejka pewnie jakis piątka,0
i oczywiście być pytanie czy nie bać się o przyszłość wisły face_with_tears_of_joy przechodzić sam siebie,0
no ja właśnie to sam znaczyć wiedzieć z emre wbijać często bo on żona być polka ale no,0
nica nie móc ale on brak móc spowodować że strajkować szybko się z sejm wynieść,0
przecież jak on zamknąć to o co ty będziesz pisać twój żyto stracić sens,0
to zaraz porobić screeny od moment od który być zablokować,0
ktoś przestać słodzić ktoś kto dużo słodzić,0
no to po co się zgodzić na klauzula dopiero po zakończenie przyszły sezon a nie od raz,0
być to prawda ale msz powinien on pewnie myśleć że być w lisowski polsce i wszystko wolno grinding_face grinding_face grinding_face,0
delikatnie nie po droga dzień,0
no to murowany bo mieć też człowiek z cracovii,0
może ogłuszyć on ten korka od szampan który strzelać po podpisaniu kontrakt salowa z jagiellonia,0
pani i pan totalny porażka w miasto na_temat o t a l n a nto bardzo ważny znak,0
ręka opadać że taki rzecz lud związani z futsalu nie wiedzieć,0
przeczytać wszystko fantastyczny mieć pani dziadek,0
na wszystko mieć odpowiedź żyłeś w ten czas,0
mr czarnecki to nie hipokryzja tylko zwykły ludzki przyzwoitość widać że który obcy taki odruch,0
diego maradona robbie williams,0
ja nie byłbym taki pewien,0
patrzyć kto brać to mieć wątpliwość czy nie chcieć do liga nie liczyć marciniaka,0
to być dawno jeszcze nie znać fotoszopa,0
maly murzyn silny i zdrowy,1
pojawić się na tt to konto to nie fejk ndołączajcie flexes_biceps,0
w program igrzysko wolność w łódź śpiewanie pieśń rewolucyjny piosenka z serial pancerny i pies,0
no i w koniec widzieć uśmiech,0
jeszcze wy zjeść i wybrać,1
dobry argument to że ktoś on nie chcieć bo on nie lubić,0
tylko że ten prostak sie nabijać szydzić tak jak z śmierć piotra syn,0
qwa wypić kawa przed chwiląbardzo dobry akwen chcieć on zwracać a swój droga to świetny środek na wywołanie wymiot,0
wchodzić w powiadomienie a tu nica już na tt odpisałem zaraz wyjechać ban,0
nataliethere _ oddać szybciutko z powiadomienie,0
tak tak jeszcze ktoś w to uwierzyć,0
tez musze trzymać poziomo telefon czytać ten artykuł,0
czas kiedy zacząć interesować się piłka i wisłą smiling_face_with_hearteyes,0
wy narobiliscie miliardow dlugow za wasz rzadow oddajciekase,0
czy gotowy na taki kolej rzecz,0
tak jak pisdzielstwo ośmieszać policjant to już nikt nigdy bardzo nie będzie,1
a kiedy przestać wydawać milion na swój ochroniarz tylko zacząć leczyć u psychiatra swój mania prześladowca,1
pierwszy priorytet zadowolić jaracza drugi priorytet ssać kasa wszystek otwór mieć rozdwojenie jaźń,1
huj z wy dziennikarz piłka nożny dla kibic a nie pseudo dziennikarz,1
e tam to z miłość do łódź beaming_face_with_smiling_eyes i przyjść do pis beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,0
a ja z coś znowu zepsuć xd,0
czemu jak zawsze się o ktoś martwić to ja dostawać po dupa i mean nie wiedzieć,0
kiedy wyjeżdżać ja w piątka co prawda już drugi rok ale mój rodzina nadal reagować tak samo,0
ograniczyć to do byle nie ufać,0
święty racja ale zapytać jurgiel o notatka on wiedzieć co pierdolić będzie łatwo,1
szczególnie wielki strata za smoleński,0
dać znać o zdjecie blokada,0
myślić że po info o konferencja wiele osoba to przychodzić do głowa,0
koniecznie zapraszać na spacer z kawka grinding_face_with_big_eyes,0
błąd logiczny ten pieniądz kiedyś być wasz teraz już sa nasz i nica wy do ten towarzysz,0
zależeć jak na to spojrzeć z jeden strona akredytacja z drugi wyjazd za swój winning_face,0
albo wygrywać z barceloną,0
tylko nie zagłuszanie potrzeba my taki piłkarz bez ambicja,0
nica specjalny można się domyślać że pewnie pójść na wypożyczenie,0
z zagłębie ład i czerwiński w skład porażka a z legia carlitos na kapitana zmiana w przerwa co za seria face_with_tears_of_joy,0
co chwila o on pisać i gadać jaki to porażka jak nie zostać nie pamiętać jak jeszcze niedawno otrzymanie licencja,0
przecież ts dzierżawić ten ziemia umowa na rok zgadzać się czy nie,0
pytać się kiedy beda nowy okular bo juz chcieć wychodzić,0
probierz szukać młody polak pasować jak ulać winning_face,0
może pasować do klucz francuski wrench smiling_face,0
pensja kasa dojenie ssanie kasa uchanie w meskie dupa zawsze za pis trudny teren ciezkie warunek,0
polski to nie napis na drops uuuu niedobrze uuuuuuu,0
raczej ty się powinien jeden ale nie wiedzieć czy to pomóc,1
jak narazie to sobie móc kupa zrobić albo hurtowo dać dupa pedofil w sutanna który publicznie bronić,1
dobrze w polsce żeby legia mieć pomoc,0
ale mieć chórowy humor przez to że nie zdać i być na siebie zło,0
szukać osoba który mieć kontakt z rodzina gen bułakbałachowicza sprawa prywatny,0
brawo skwk za komunikat pomimo brak zakaz czekać na ten wiadomość co robić bo na mecz bez doping niemyslalem iścić,0
a ty wieś kretynie conti być acta i co dotyczyć najpierw przeczytać a potem się wypowiadać,1
trąba nie no ostro pojechałaś d,0
beata mazurek w sejm na pytanie co myślić o pomysł kaczynskiego o obniżka wynagrodzenie ja nica nie myślić to słychać,0
motocykl opuścić gniazdo i kierować się na północ żonkil na przedmieście to już tylko formalność wiosna,0
detective być tak zainspirować że on nie widać fachowiec górny prawy róg,0
kto miecz wojować od pochwa ginąć,0
w jeden z powtórka być to dobrze widać,0
kochana nie mieć po co bo późno wszystek się będą po to kleić face_with_tears_of_joy face_with_tears_of_joy,0
chyba nie mieć się co przyczepić nie przesadzać,0
ale dlaczego głupi tłumaczyć to jeszcze głupi,0
dzwonić się dowiadywać kiedy się można wprowadzać face_with_tears_of_joy nie wiedzieć z taki problem móc być xd,0
już pod koniec jazda wymusić na rondo nie wiedzieć jak to się stać mój mózg mieć zaćmienie czy coś a,0
nowy chodnikowy powiedzonko brzminnpierdolisz jak morawiecki realynnnnhybryda głupota,1
terminator x to the edge of panic wykonawca public enemy,0
zaspany być jeszcze worek xd,0
no ja nie kojarze xd,0
pies to czas nawet pożerać książka,0
kiedy christina wychodzić za mąż,0
zapewne ten co grać przez większość runda w clj i nie ponieść ani jeden porażka,0
jak będzie ten piosneczka to przychodzić,0
zamieszczanie taki zdjęcie podczas gdy ja być na suchar powinno być zabronić,0
a co trzeba zrobić w kwestia finansowania kampania z fundusz ue przez ziobro,0
w środek łamanie w stylo obieg,0
jak ja się źle czulem jak byłem dziecko w kościół to głow mala szopka do kwadrat nie mogłem to wytrzymać,0
jak wróce z praca to też podejme wyzwanie ale ten raz bedzie skromnie,0
jak pić to z klasa,0
ty pajacu zmienić sobie herb na pusty łeb,1
w rosji sa jakiś zawód,0
myślałem że to twój ulubieniec face_with_tears_of_joy,0
pewnie ranking fifa bedzie decydowal,0
lukaszewicz co wy tam palić,0
leszka mój kochany mieć mózg wyprać,1
a ja współczuć zaślepieniawolę nie mieść wolski niż robić kolejny dług,0
od parę rok słysze o sponsor więc tym bardzo szacunek że przez pare rok się ujawnić,0
skoro carrillo nie chcieć soból to tym bardzo nie będzie chcieć głowa chyba że trener rzeczywiście odchodzić,0
zawsze bedą afera bo zawsze będa taki l który kraść i taki u wladzy który to kręcić,0
kota też się załapać na fotke a raczej on dupa,0
szczerze trochę tak to wyglądać a i tak prędko czy późno ten bilans wychodzić na równo,0
zaraz będą pisać że wisła szkolić kibol żeby potrafić maczeta wymachiwać,0
stać przed on król gargulcównbetty to pewnie ethelnnxddddddddddddddnriverdale riverdale,0
no to ja w własny osoba,0
słabo trzymałeś kciuk bo podarować bramke cracovii,0
odstawiać narodowość na bok to ten skład być przecież słabiutki,0
piwnica bez okno ty to mieć dobrze,0
czuć się chory więc siedzieć w dom w czapka,0
juz myslałem że coś zły beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,0
a gdzie inferno napisać że wisła stawiać na polak,0
akurat ty blisko do karolak bo w większość ty wyciąć face_with_tears_of_joy,0
omg właśnie o on myśleć,0
tak na pewno nie będzie drużyna lecieć w środa,0
cudzysłów przecinka nie być ruski troll,0
brać pod uwaga jaki dotąd mieć losowanie w liga europ to na ten finał w bak w rok nie być bez szansa beaming_face_with_smiling_eyes,0
fajnie teraz zamiast przemowa muzyczka żeby nie być słychać odzew publika,0
białystok ulica wierzbowy jak on to zrobić to być zagadka,0
straszny gangster jak po wolność chodzić,0
to się nazywać uzależnienie xd,0
info z ostatni chwila barwa pogoń skroić przez bandyta z krakowa pomimo zakaz wisła rządzić,0
pewnie tak bo buchalik kontuzjować,0
to mieć jakiś ciąg daleki winning_face,0
vans do chuj przestać robić choć na chwila zajebisty kolekcja bo w mój portfel pieniądz,0
miliard nie mieć zamiar dyskutowa możejski i skok,0
alves być bardzo w stylo guardioli face_with_tongue,0
co ty żreć że ty tak pierdolić,1
bo w już grać przez boateng,0
trudno być pewny gdy stoper móc zagracić tylko laga do przód bo środek nie mieć,0
no właśnie nie być i dlatego patologia zostać stosownie potraktować,0
skoro być dna dno to może skupić się na ten od który coś wymagać,0
widocznie to zbyt trudny miłość na walentynka beaming_face_with_smiling_eyes,0
sarapata być w solarium,0
woda chyba zimny bo nikt w woda,0
ej dobra wziąć ten chrzest czy nie xd,0
lub bezpośredni awans bo nie wiadomo co z stempel a przed wszystko bytovia,0
byłam przy to więc zapewniać winning_face,0
tylko ty mieć problem z rzecznik więc zastanowić się w kto tak naprawdę być problem thinking_face,0
piątka też powinien być wolny ina,0
wassermannówna kłamać mówić że przyjść do polityka on przyjechać na trumna ojciec,1
już dwa rok temu powinni wygrac euro,0
kibic inny drużyna doceniać i trochę zazdrościć,0
na być zmiana śląsk jaga i chyba zostać już potwierdzić,0
w ten czas być z rodzinka na wakacje w gdańsku rzeźnia to musieć zdalnie podtrzymywać związka,0
jak patryk jaki wygrać wybór w warszawa oczyścić stolica z były uzbecki funkcjonariusz woronicza,1
szkoda że przez wymysł mendes taki ruben neves się marnować w wolverhampton,0
nie wiedzieć aczkolwiek on tata mówić że widzieć tomasz w jagiellonii winning_face_with_tongue,0
ja i mój psiak grać w ten gra na stać i nie móc przestać się śmiać z nasz mina xd,0
kolar niestety ten sam poziom chyba trzeba będzie liczyć na skuteczność boguckiego i wałecki,0
rząd zaostrzyć kara za znęcanie się nad zwierzę od rok więzienie obowiązkowy nawiązka do tysiąc złoty dużo jutro w,0
czuć że brlek prędko czy późno odpalić,0
to że figurowy jako zawodnik mana city nie znaczyć że będzie potrafić grać,0
oczywiście że mieć racja chodzić tylko o to że to być drużyna o klasa lub dwa dobry,0
nie mieć prawo stać za linia tak prawda mówić grinding_face_with_smiling_eyes ale w kamera to bardzo ładnie wyglądać,0
ty to robić przed wszystko co widać po pierwszy tweet,0
ostatnio czuć się tak samotny i smutny z aż sam się dziwie,0
przecież to legionista to kto mieć życzyć mistrzyni wiedziałeś,0
dobrze by on to zrobić słaby na wisle,0
hehehehehe róża nawet zły być co z on wyrosnąć beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,0
jeden wynajmować agencja do komentarz a inny dziennikarz,0
pewnie być mniej błąd bo i liczba być mniej bo zrezygnować z statystyka zawodnik sezon po sezon,0
krzyż przeciw prezydentura krzyż obłęd,0
sorry ale dzisiaj nie mieć opozycja być grupa cwaniak chcieć odzyskać stołek,0
na kinowy żyto dobry łódeczka,0
co na to herod śmierdziuszka,0
brakować on dystans za bardzo się egzystować a jałowy szyderstwo już ja się przejść,0
wisła chyba ważny od jakiś delle donne,0
nawet jeśli to fejk to zgodnie z powiedzenie w każdy plotka być ziarnko prawda z to że w ten przypadek raczej ziarno beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,0
tez wczoraj być na randka który trwać cały dzienie xd,0
a kierowca autobus wstać i zacząć klaskać,0
jak by nie być aby być miło teraz sie cieszyć,0
no to może warto najwyżej ty olać co być oczywiście nie do przyjęcie face_with_tears_of_joy kto nie ryzykować ten nie pić szampan kochany,0
trzymać się za ręka waleczny i sprawiedliwy,0
dudelange niby taki cwaniak a ciekawy czy byliby taki mądry w dwubój rzut młotemskoki narciarski,0
głównie który często o to wspominać,0
kto się jeszcze zaczepiać na fejs,0
z ten wizja to móc być problem proponować sprawdzić po co ten wizja być,0
jaki hejthejt to być na tuska komorowskiego przecież to nie polacy śmierć wróg ojczyzna obudzić się,1
czy antek już ogłosić że na lewy skrzydło nasz obrona być wybuch,0
być to dobry informacja dla ten co okradać polskę od rok irlandia dać on wolność,0
ale przecież polexit być dobry założyć koszulka z orzeł i będziecie żyć ziemniak i singiel smiling_face_with_halo,0
wywalić ronaldo w superpuchar,0
bo sam być pełnosprawny umysłowo beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,1
halo kraków kto byście uznać za gwiazdęnajważniejszego zawodnik obecny wisły winning_face,0
ssą wszystek otwór z krew biało czerwony,0
wy się zjednoczyć z faszysta z połów europ kompromitacja level hard,0
znowu on face_with_tears_of_joy to przy okazja niech się odnieść do słowo salary face_with_tears_of_joy,0
dotarla do orzełek beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes w ten rok niestety tyłko jeden disappointed_face disappointed_face,0
mieć rozumieć że to mapa nasycenie kraj zboczeniec w sutanna,1
a pan nie brakować czas art punkt,0
czy to oneplus ladowal kiedyś,0
punkt na w runda finałowy,0
będziemy realizować przekonać mierzeja wiślany nwieszwiecej n,0
bolek wyluzować bo być sercowy,0
śmieć się śmieć to wcale nie być śmieszny,0
i hope that autumn will heal me,0
jutro po marsz ale jeszcze kilka dzień beda chodzić nazwać,0
